file,diff_fields,deepseek_values,kimi_values,poe_values
USC/full/cv_carrillo.docx,AMERICAN ECONOMIC REVIEW; JOURNAL OF ECONOMIC THEORY; REVIEW OF ECONOMIC STUDIES,"{""AMERICAN ECONOMIC REVIEW"": ""1"", ""JOURNAL OF ECONOMIC THEORY"": ""3"", ""REVIEW OF ECONOMIC STUDIES"": ""3""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""JOURNAL OF ECONOMIC THEORY"": ""3"", ""REVIEW OF ECONOMIC STUDIES"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""JOURNAL OF ECONOMIC THEORY"": ""4"", ""REVIEW OF ECONOMIC STUDIES"": ""3""}"
USC/full/romainranciere.docx,AMERICAN ECONOMIC JOURNAL-MACROECONOMICS; name,"{""AMERICAN ECONOMIC JOURNAL-MACROECONOMICS"": ""1"", ""name"": ""Romain Ranciere""}","{""AMERICAN ECONOMIC JOURNAL-MACROECONOMICS"": ""2"", ""name"": ""Romain Ranci`ere""}","{""AMERICAN ECONOMIC JOURNAL-MACROECONOMICS"": ""2"", ""name"": ""Romain Ranciere""}"
USC/full/strauss.docx,JOURNAL OF DEVELOPMENT ECONOMICS,"{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""7""}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""11""}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""7""}"
USC/full/vita_Betts.docx,JOURNAL OF ECONOMIC THEORY,"{""JOURNAL OF ECONOMIC THEORY"": ""1""}","{""JOURNAL OF ECONOMIC THEORY"": ""0""}","{""JOURNAL OF ECONOMIC THEORY"": ""0""}"
USC/full/vita_Brocas.docx,AMERICAN ECONOMIC JOURNAL-MICROECONOMICS; AMERICAN ECONOMIC REVIEW; JOURNAL OF ECONOMIC THEORY; JOURNAL OF POLITICAL ECONOMY,"{""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""0"", ""AMERICAN ECONOMIC REVIEW"": ""2"", ""JOURNAL OF ECONOMIC THEORY"": ""2"", ""JOURNAL OF POLITICAL ECONOMY"": ""1""}","{""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""1"", ""AMERICAN ECONOMIC REVIEW"": ""2"", ""JOURNAL OF ECONOMIC THEORY"": ""3"", ""JOURNAL OF POLITICAL ECONOMY"": ""2""}","{""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""0"", ""AMERICAN ECONOMIC REVIEW"": ""3"", ""JOURNAL OF ECONOMIC THEORY"": ""2"", ""JOURNAL OF POLITICAL ECONOMY"": ""1""}"
USC/full/vita_Hsiao.docx,ECONOMETRICA; INTERNATIONAL ECONOMIC REVIEW; JOURNAL OF DEVELOPMENT ECONOMICS; JOURNAL OF ECONOMETRICS; JOURNAL OF INTERNATIONAL ECONOMICS; REVIEW OF ECONOMIC STUDIES; REVIEW OF ECONOMICS AND STATISTICS,"{""ECONOMETRICA"": ""2"", ""INTERNATIONAL ECONOMIC REVIEW"": ""5"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""0"", ""JOURNAL OF ECONOMETRICS"": ""10"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0"", ""REVIEW OF ECONOMIC STUDIES"": ""2"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""0""}","{""ECONOMETRICA"": ""3"", ""INTERNATIONAL ECONOMIC REVIEW"": ""6"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""1"", ""JOURNAL OF ECONOMETRICS"": ""33"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""1"", ""REVIEW OF ECONOMIC STUDIES"": ""1"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""3""}","{""ECONOMETRICA"": ""3"", ""INTERNATIONAL ECONOMIC REVIEW"": ""5"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""0"", ""JOURNAL OF ECONOMETRICS"": ""20"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0"", ""REVIEW OF ECONOMIC STUDIES"": ""2"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""0""}"
USC/full/vita_chaney.docx,AMERICAN ECONOMIC REVIEW; QUARTERLY JOURNAL OF ECONOMICS,"{""AMERICAN ECONOMIC REVIEW"": ""4"", ""QUARTERLY JOURNAL OF ECONOMICS"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""3"", ""QUARTERLY JOURNAL OF ECONOMICS"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""4"", ""QUARTERLY JOURNAL OF ECONOMICS"": ""1""}"
USC/full/vita_dekle.docx,JOURNAL OF INTERNATIONAL ECONOMICS,"{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""1""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""2""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""1""}"
USC/full/vita_ridder.docx,ECONOMETRICA; JOURNAL OF ECONOMETRICS; REVIEW OF ECONOMIC STUDIES; REVIEW OF ECONOMICS AND STATISTICS; promotion_university; promotion_year; years_post_phd,"{""ECONOMETRICA"": ""2"", ""JOURNAL OF ECONOMETRICS"": ""5"", ""REVIEW OF ECONOMIC STUDIES"": ""2"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""1"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""ECONOMETRICA"": ""4"", ""JOURNAL OF ECONOMETRICS"": ""7"", ""REVIEW OF ECONOMIC STUDIES"": ""3"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""2"", ""promotion_university"": ""University of Groningen"", ""promotion_year"": ""1987"", ""years_post_phd"": ""0""}","{""ECONOMETRICA"": ""5"", ""JOURNAL OF ECONOMETRICS"": ""8"", ""REVIEW OF ECONOMIC STUDIES"": ""2"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""1"", ""promotion_university"": ""University of Groningen"", ""promotion_year"": ""1987"", ""years_post_phd"": ""0""}"
Vanderbilt/associate/CVwebcopy_mar25.docx,AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY,"{""AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY"": ""1""}","{""AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY"": ""3""}","{""AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY"": ""2""}"
Vanderbilt/associate/RodrigueCVweb.docx,JOURNAL OF INTERNATIONAL ECONOMICS,"{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""2""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""3""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""2""}"
Vanderbilt/full/Bond cv 1 25.docx,AMERICAN ECONOMIC REVIEW; ECONOMIC JOURNAL; INTERNATIONAL ECONOMIC REVIEW; JOURNAL OF ECONOMIC THEORY; JOURNAL OF INTERNATIONAL ECONOMICS; JOURNAL OF POLITICAL ECONOMY; JOURNAL OF PUBLIC ECONOMICS; RAND JOURNAL OF ECONOMICS; REVIEW OF ECONOMIC STUDIES; REVIEW OF ECONOMICS AND STATISTICS,"{""AMERICAN ECONOMIC REVIEW"": ""2"", ""ECONOMIC JOURNAL"": ""2"", ""INTERNATIONAL ECONOMIC REVIEW"": ""2"", ""JOURNAL OF ECONOMIC THEORY"": ""3"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""4"", ""JOURNAL OF POLITICAL ECONOMY"": ""1"", ""JOURNAL OF PUBLIC ECONOMICS"": ""2"", ""RAND JOURNAL OF ECONOMICS"": ""1"", ""REVIEW OF ECONOMIC STUDIES"": ""1"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""0"", ""ECONOMIC JOURNAL"": ""1"", ""INTERNATIONAL ECONOMIC REVIEW"": ""3"", ""JOURNAL OF ECONOMIC THEORY"": ""1"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""4"", ""JOURNAL OF POLITICAL ECONOMY"": ""1"", ""JOURNAL OF PUBLIC ECONOMICS"": ""2"", ""RAND JOURNAL OF ECONOMICS"": ""2"", ""REVIEW OF ECONOMIC STUDIES"": ""0"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""4"", ""ECONOMIC JOURNAL"": ""2"", ""INTERNATIONAL ECONOMIC REVIEW"": ""3"", ""JOURNAL OF ECONOMIC THEORY"": ""1"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""8"", ""JOURNAL OF POLITICAL ECONOMY"": ""2"", ""JOURNAL OF PUBLIC ECONOMICS"": ""4"", ""RAND JOURNAL OF ECONOMICS"": ""2"", ""REVIEW OF ECONOMIC STUDIES"": ""1"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""3""}"
Vanderbilt/full/CV_June_2023.docx,AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS,"{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""3""}","{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""4""}","{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""4""}"
Vanderbilt/full/Christopher-S-Carpenter-cv-2024-08-11.docx,AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS; AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY; AMERICAN ECONOMIC REVIEW,"{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""1"", ""AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY"": ""2"", ""AMERICAN ECONOMIC REVIEW"": ""1""}","{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""2"", ""AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY"": ""3"", ""AMERICAN ECONOMIC REVIEW"": ""1""}","{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""1"", ""AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY"": ""3"", ""AMERICAN ECONOMIC REVIEW"": ""0""}"
Vanderbilt/full/HuffmanCV.docx,INTERNATIONAL ECONOMIC REVIEW; JOURNAL OF MONETARY ECONOMICS,"{""INTERNATIONAL ECONOMIC REVIEW"": ""2"", ""JOURNAL OF MONETARY ECONOMICS"": ""3""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""2"", ""JOURNAL OF MONETARY ECONOMICS"": ""4""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""3"", ""JOURNAL OF MONETARY ECONOMICS"": ""5""}"
Vanderbilt/full/J-P-Conley-CV-2024-04-23.docx,JOURNAL OF ECONOMIC THEORY,"{""JOURNAL OF ECONOMIC THEORY"": ""3""}","{""JOURNAL OF ECONOMIC THEORY"": ""2""}","{""JOURNAL OF ECONOMIC THEORY"": ""3""}"
Vanderbilt/full/Kevin-Huang_CV_2023-3.docx,JOURNAL OF ECONOMIC THEORY; JOURNAL OF MONETARY ECONOMICS,"{""JOURNAL OF ECONOMIC THEORY"": ""1"", ""JOURNAL OF MONETARY ECONOMICS"": ""3""}","{""JOURNAL OF ECONOMIC THEORY"": ""2"", ""JOURNAL OF MONETARY ECONOMICS"": ""3""}","{""JOURNAL OF ECONOMIC THEORY"": ""1"", ""JOURNAL OF MONETARY ECONOMICS"": ""5""}"
Vanderbilt/full/RousseauCV.docx,AMERICAN ECONOMIC REVIEW; JOURNAL OF DEVELOPMENT ECONOMICS; JOURNAL OF MONETARY ECONOMICS,"{""AMERICAN ECONOMIC REVIEW"": ""3"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""1"", ""JOURNAL OF MONETARY ECONOMICS"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""1"", ""JOURNAL OF MONETARY ECONOMICS"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""3"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""2"", ""JOURNAL OF MONETARY ECONOMICS"": ""2""}"
Vanderbilt/full/SaggiKCV-1.docx,AMERICAN ECONOMIC JOURNAL-MICROECONOMICS; ECONOMIC JOURNAL; INTERNATIONAL ECONOMIC REVIEW; JOURNAL OF DEVELOPMENT ECONOMICS; JOURNAL OF INTERNATIONAL ECONOMICS,"{""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""1"", ""ECONOMIC JOURNAL"": ""3"", ""INTERNATIONAL ECONOMIC REVIEW"": ""3"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""3"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""11""}","{""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""1"", ""ECONOMIC JOURNAL"": ""2"", ""INTERNATIONAL ECONOMIC REVIEW"": ""3"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""3"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""8""}","{""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""2"", ""ECONOMIC JOURNAL"": ""3"", ""INTERNATIONAL ECONOMIC REVIEW"": ""4"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""7"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""12""}"
Vanderbilt/full/SasakiCV.docx,JOURNAL OF ECONOMETRICS,"{""JOURNAL OF ECONOMETRICS"": ""6""}","{""JOURNAL OF ECONOMETRICS"": ""11""}","{""JOURNAL OF ECONOMETRICS"": ""0""}"
Vanderbilt/full/Viscusi_CV_biblio_021725.docx,AMERICAN ECONOMIC REVIEW; INTERNATIONAL ECONOMIC REVIEW; JOURNAL OF LABOR ECONOMICS; JOURNAL OF POLITICAL ECONOMY; JOURNAL OF PUBLIC ECONOMICS; JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION; RAND JOURNAL OF ECONOMICS; REVIEW OF ECONOMICS AND STATISTICS; years_post_phd,"{""AMERICAN ECONOMIC REVIEW"": ""8"", ""INTERNATIONAL ECONOMIC REVIEW"": ""3"", ""JOURNAL OF LABOR ECONOMICS"": ""2"", ""JOURNAL OF POLITICAL ECONOMY"": ""2"", ""JOURNAL OF PUBLIC ECONOMICS"": ""2"", ""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""1"", ""RAND JOURNAL OF ECONOMICS"": ""5"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""5"", ""years_post_phd"": ""3""}","{""AMERICAN ECONOMIC REVIEW"": ""5"", ""INTERNATIONAL ECONOMIC REVIEW"": ""2"", ""JOURNAL OF LABOR ECONOMICS"": ""1"", ""JOURNAL OF POLITICAL ECONOMY"": ""1"", ""JOURNAL OF PUBLIC ECONOMICS"": ""3"", ""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""0"", ""RAND JOURNAL OF ECONOMICS"": ""3"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""7"", ""years_post_phd"": ""3""}","{""AMERICAN ECONOMIC REVIEW"": ""8"", ""INTERNATIONAL ECONOMIC REVIEW"": ""3"", ""JOURNAL OF LABOR ECONOMICS"": ""2"", ""JOURNAL OF POLITICAL ECONOMY"": ""2"", ""JOURNAL OF PUBLIC ECONOMICS"": ""3"", ""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""0"", ""RAND JOURNAL OF ECONOMICS"": ""5"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""10"", ""years_post_phd"": """"}"
Vanderbilt/full/cv-25-07.docx,ECONOMETRICA; ECONOMIC JOURNAL; JOURNAL OF ECONOMIC THEORY; JOURNAL OF POLITICAL ECONOMY; REVIEW OF ECONOMIC STUDIES,"{""ECONOMETRICA"": ""1"", ""ECONOMIC JOURNAL"": ""1"", ""JOURNAL OF ECONOMIC THEORY"": ""7"", ""JOURNAL OF POLITICAL ECONOMY"": ""1"", ""REVIEW OF ECONOMIC STUDIES"": ""1""}","{""ECONOMETRICA"": ""1"", ""ECONOMIC JOURNAL"": ""0"", ""JOURNAL OF ECONOMIC THEORY"": ""11"", ""JOURNAL OF POLITICAL ECONOMY"": ""0"", ""REVIEW OF ECONOMIC STUDIES"": ""0""}","{""ECONOMETRICA"": ""2"", ""ECONOMIC JOURNAL"": ""0"", ""JOURNAL OF ECONOMIC THEORY"": ""10"", ""JOURNAL OF POLITICAL ECONOMY"": ""0"", ""REVIEW OF ECONOMIC STUDIES"": ""0""}"
Vanderbilt/full/cv.docx,JOURNAL OF ECONOMETRICS; REVIEW OF ECONOMICS AND STATISTICS,"{""JOURNAL OF ECONOMETRICS"": ""5"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""1""}","{""JOURNAL OF ECONOMETRICS"": ""10"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""2""}","{""JOURNAL OF ECONOMETRICS"": ""13"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""2""}"
Vanderbilt/full/cv_2024_03_polborn.docx,JOURNAL OF ECONOMIC THEORY; JOURNAL OF PUBLIC ECONOMICS; REVIEW OF ECONOMIC STUDIES,"{""JOURNAL OF ECONOMIC THEORY"": ""2"", ""JOURNAL OF PUBLIC ECONOMICS"": ""5"", ""REVIEW OF ECONOMIC STUDIES"": ""2""}","{""JOURNAL OF ECONOMIC THEORY"": ""1"", ""JOURNAL OF PUBLIC ECONOMICS"": ""3"", ""REVIEW OF ECONOMIC STUDIES"": ""1""}","{""JOURNAL OF ECONOMIC THEORY"": ""2"", ""JOURNAL OF PUBLIC ECONOMICS"": ""6"", ""REVIEW OF ECONOMIC STUDIES"": ""3""}"
Vanderbilt/full/vita0425.docx,AMERICAN ECONOMIC JOURNAL-MICROECONOMICS; JOURNAL OF ECONOMETRICS; RAND JOURNAL OF ECONOMICS; REVIEW OF ECONOMIC STUDIES; REVIEW OF ECONOMICS AND STATISTICS,"{""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""2"", ""JOURNAL OF ECONOMETRICS"": ""8"", ""RAND JOURNAL OF ECONOMICS"": ""2"", ""REVIEW OF ECONOMIC STUDIES"": ""2"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""3""}","{""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""1"", ""JOURNAL OF ECONOMETRICS"": ""6"", ""RAND JOURNAL OF ECONOMICS"": ""1"", ""REVIEW OF ECONOMIC STUDIES"": ""1"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""1""}","{""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""2"", ""JOURNAL OF ECONOMETRICS"": ""11"", ""RAND JOURNAL OF ECONOMICS"": ""2"", ""REVIEW OF ECONOMIC STUDIES"": ""2"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""2""}"
Virginia Tech/associate/Cothren_2018_CV.docx,JOURNAL OF MONETARY ECONOMICS,"{""JOURNAL OF MONETARY ECONOMICS"": ""1""}","{""JOURNAL OF MONETARY ECONOMICS"": ""2""}","{""JOURNAL OF MONETARY ECONOMICS"": ""1""}"
Virginia Tech/associate/Lin_vita.docx,promotion_university,"{""promotion_university"": """"}","{""promotion_university"": """"}","{""promotion_university"": ""Wayne State University""}"
Virginia Tech/associate/tsang_cv_short.docx,AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS; AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY; AMERICAN ECONOMIC JOURNAL-MACROECONOMICS; AMERICAN ECONOMIC JOURNAL-MICROECONOMICS; AMERICAN ECONOMIC REVIEW; ECONOMETRICA; ECONOMIC JOURNAL; INTERNATIONAL ECONOMIC REVIEW; JOURNAL OF DEVELOPMENT ECONOMICS; JOURNAL OF ECONOMETRICS; JOURNAL OF ECONOMIC THEORY; JOURNAL OF INTERNATIONAL ECONOMICS; JOURNAL OF LABOR ECONOMICS; JOURNAL OF MONETARY ECONOMICS; JOURNAL OF POLITICAL ECONOMY; JOURNAL OF PUBLIC ECONOMICS; JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION; QUANTITATIVE ECONOMICS; QUARTERLY JOURNAL OF ECONOMICS; RAND JOURNAL OF ECONOMICS; REVIEW OF ECONOMIC STUDIES; REVIEW OF ECONOMICS AND STATISTICS; THEORETICAL ECONOMICS; name; promotion_university; promotion_year; years_post_phd,"{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""0"", ""AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY"": ""0"", ""AMERICAN ECONOMIC JOURNAL-MACROECONOMICS"": ""0"", ""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""0"", ""AMERICAN ECONOMIC REVIEW"": ""0"", ""ECONOMETRICA"": ""0"", ""ECONOMIC JOURNAL"": ""0"", ""INTERNATIONAL ECONOMIC REVIEW"": ""0"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""0"", ""JOURNAL OF ECONOMETRICS"": ""0"", ""JOURNAL OF ECONOMIC THEORY"": ""0"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0"", ""JOURNAL OF LABOR ECONOMICS"": ""0"", ""JOURNAL OF MONETARY ECONOMICS"": ""0"", ""JOURNAL OF POLITICAL ECONOMY"": ""0"", ""JOURNAL OF PUBLIC ECONOMICS"": ""0"", ""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""0"", ""QUANTITATIVE ECONOMICS"": ""0"", ""QUARTERLY JOURNAL OF ECONOMICS"": ""0"", ""RAND JOURNAL OF ECONOMICS"": ""0"", ""REVIEW OF ECONOMIC STUDIES"": ""0"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""1"", ""THEORETICAL ECONOMICS"": ""0"", ""name"": ""Kwok Ping Tsang"", ""promotion_university"": ""Virginia Tech"", ""promotion_year"": ""2014"", ""years_post_phd"": ""6""}","{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": """", ""AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY"": """", ""AMERICAN ECONOMIC JOURNAL-MACROECONOMICS"": """", ""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": """", ""AMERICAN ECONOMIC REVIEW"": """", ""ECONOMETRICA"": """", ""ECONOMIC JOURNAL"": """", ""INTERNATIONAL ECONOMIC REVIEW"": """", ""JOURNAL OF DEVELOPMENT ECONOMICS"": """", ""JOURNAL OF ECONOMETRICS"": """", ""JOURNAL OF ECONOMIC THEORY"": """", ""JOURNAL OF INTERNATIONAL ECONOMICS"": """", ""JOURNAL OF LABOR ECONOMICS"": """", ""JOURNAL OF MONETARY ECONOMICS"": """", ""JOURNAL OF POLITICAL ECONOMY"": """", ""JOURNAL OF PUBLIC ECONOMICS"": """", ""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": """", ""QUANTITATIVE ECONOMICS"": """", ""QUARTERLY JOURNAL OF ECONOMICS"": """", ""RAND JOURNAL OF ECONOMICS"": """", ""REVIEW OF ECONOMIC STUDIES"": """", ""REVIEW OF ECONOMICS AND STATISTICS"": """", ""THEORETICAL ECONOMICS"": """", ""name"": """", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""0"", ""AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY"": ""0"", ""AMERICAN ECONOMIC JOURNAL-MACROECONOMICS"": ""0"", ""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""0"", ""AMERICAN ECONOMIC REVIEW"": ""0"", ""ECONOMETRICA"": ""0"", ""ECONOMIC JOURNAL"": ""0"", ""INTERNATIONAL ECONOMIC REVIEW"": ""0"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""0"", ""JOURNAL OF ECONOMETRICS"": ""0"", ""JOURNAL OF ECONOMIC THEORY"": ""0"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0"", ""JOURNAL OF LABOR ECONOMICS"": ""0"", ""JOURNAL OF MONETARY ECONOMICS"": ""0"", ""JOURNAL OF POLITICAL ECONOMY"": ""0"", ""JOURNAL OF PUBLIC ECONOMICS"": ""0"", ""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""0"", ""QUANTITATIVE ECONOMICS"": ""0"", ""QUARTERLY JOURNAL OF ECONOMICS"": ""0"", ""RAND JOURNAL OF ECONOMICS"": ""0"", ""REVIEW OF ECONOMIC STUDIES"": ""0"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""1"", ""THEORETICAL ECONOMICS"": ""0"", ""name"": ""Kwok Ping Tsang"", ""promotion_university"": ""Virginia Tech"", ""promotion_year"": ""2014"", ""years_post_phd"": ""6""}"
Virginia Tech/full/Haller_2021_CV.docx,ECONOMETRICA; ECONOMIC JOURNAL; INTERNATIONAL ECONOMIC REVIEW; JOURNAL OF ECONOMIC THEORY; REVIEW OF ECONOMIC STUDIES,"{""ECONOMETRICA"": ""1"", ""ECONOMIC JOURNAL"": ""0"", ""INTERNATIONAL ECONOMIC REVIEW"": ""1"", ""JOURNAL OF ECONOMIC THEORY"": ""3"", ""REVIEW OF ECONOMIC STUDIES"": ""1""}","{""ECONOMETRICA"": ""2"", ""ECONOMIC JOURNAL"": ""0"", ""INTERNATIONAL ECONOMIC REVIEW"": ""2"", ""JOURNAL OF ECONOMIC THEORY"": ""2"", ""REVIEW OF ECONOMIC STUDIES"": ""1""}","{""ECONOMETRICA"": ""2"", ""ECONOMIC JOURNAL"": ""1"", ""INTERNATIONAL ECONOMIC REVIEW"": ""3"", ""JOURNAL OF ECONOMIC THEORY"": ""5"", ""REVIEW OF ECONOMIC STUDIES"": ""0""}"
Virginia Tech/full/Salehi-Isfahani_cv_short.docx,promotion_university,"{""promotion_university"": ""Virginia Polytechnic Institute and State University""}","{""promotion_university"": ""Virginia Polytechnic Institute and State University""}","{""promotion_university"": ""Virginia Tech""}"
Virginia Tech/full/Sarangi CV 2022.docx,JOURNAL OF ECONOMIC THEORY; promotion_university; promotion_year,"{""JOURNAL OF ECONOMIC THEORY"": ""0"", ""promotion_university"": """", ""promotion_year"": """"}","{""JOURNAL OF ECONOMIC THEORY"": ""1"", ""promotion_university"": ""Louisiana State University"", ""promotion_year"": ""2000""}","{""JOURNAL OF ECONOMIC THEORY"": ""1"", ""promotion_university"": ""Louisiana State University"", ""promotion_year"": ""2000""}"
Virginia Tech/full/Spanos_2018_CV.docx,ECONOMIC JOURNAL; JOURNAL OF ECONOMETRICS; REVIEW OF ECONOMICS AND STATISTICS,"{""ECONOMIC JOURNAL"": ""1"", ""JOURNAL OF ECONOMETRICS"": ""2"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""1""}","{""ECONOMIC JOURNAL"": ""1"", ""JOURNAL OF ECONOMETRICS"": ""5"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""2""}","{""ECONOMIC JOURNAL"": ""0"", ""JOURNAL OF ECONOMETRICS"": ""3"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""0""}"
Virginia Tech/full/ashley_cv_March_19_2025.docx,ECONOMIC JOURNAL; INTERNATIONAL ECONOMIC REVIEW; JOURNAL OF ECONOMETRICS,"{""ECONOMIC JOURNAL"": ""1"", ""INTERNATIONAL ECONOMIC REVIEW"": ""2"", ""JOURNAL OF ECONOMETRICS"": ""0""}","{""ECONOMIC JOURNAL"": ""0"", ""INTERNATIONAL ECONOMIC REVIEW"": ""2"", ""JOURNAL OF ECONOMETRICS"": ""1""}","{""ECONOMIC JOURNAL"": ""0"", ""INTERNATIONAL ECONOMIC REVIEW"": ""3"", ""JOURNAL OF ECONOMETRICS"": ""0""}"
