file,diff_fields,claude_values,deepseek_values,gemini_values,gpt_values,kimi_values
UC Riverside/full/Curriculum Vitae_Gao.docx,AMERICAN ECONOMIC JOURNAL-MACROECONOMICS; JOURNAL OF ECONOMIC THEORY,"{""AMERICAN ECONOMIC JOURNAL-MACROECONOMICS"": ""0"", ""JOURNAL OF ECONOMIC THEORY"": ""4""}","{""AMERICAN ECONOMIC JOURNAL-MACROECONOMICS"": ""0"", ""JOURNAL OF ECONOMIC THEORY"": ""3""}","{""AMERICAN ECONOMIC JOURNAL-MACROECONOMICS"": ""1"", ""JOURNAL OF ECONOMIC THEORY"": ""4""}","{""AMERICAN ECONOMIC JOURNAL-MACROECONOMICS"": ""0"", ""JOURNAL OF ECONOMIC THEORY"": ""4""}","{""AMERICAN ECONOMIC JOURNAL-MACROECONOMICS"": ""0"", ""JOURNAL OF ECONOMIC THEORY"": ""3""}"
UC Riverside/full/GloriaGonzalezRivera_CV.docx,JOURNAL OF ECONOMETRICS; REVIEW OF ECONOMICS AND STATISTICS,"{""JOURNAL OF ECONOMETRICS"": ""2"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""0""}","{""JOURNAL OF ECONOMETRICS"": ""0"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""0""}","{""JOURNAL OF ECONOMETRICS"": ""3"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""1""}","{""JOURNAL OF ECONOMETRICS"": ""2"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""0""}","{""JOURNAL OF ECONOMETRICS"": ""4"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""0""}"
UC Riverside/full/Marcelle Chauvet - C.V.docx,REVIEW OF ECONOMICS AND STATISTICS; promotion_university; promotion_year,"{""REVIEW OF ECONOMICS AND STATISTICS"": ""0"", ""promotion_university"": ""University of California Riverside"", ""promotion_year"": ""2007""}","{""REVIEW OF ECONOMICS AND STATISTICS"": ""0"", ""promotion_university"": """", ""promotion_year"": """"}","{""REVIEW OF ECONOMICS AND STATISTICS"": ""0"", ""promotion_university"": ""University of California Riverside"", ""promotion_year"": ""2002""}","{""REVIEW OF ECONOMICS AND STATISTICS"": ""0"", ""promotion_university"": """", ""promotion_year"": """"}","{""REVIEW OF ECONOMICS AND STATISTICS"": ""1"", ""promotion_university"": """", ""promotion_year"": """"}"
UC Riverside/full/curriculum_vitae_Eren.docx,AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS; AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY; JOURNAL OF LABOR ECONOMICS; JOURNAL OF PUBLIC ECONOMICS; promotion_university; promotion_year; years_post_phd,"{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""0"", ""AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY"": ""0"", ""JOURNAL OF LABOR ECONOMICS"": ""0"", ""JOURNAL OF PUBLIC ECONOMICS"": ""0"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""0"", ""AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY"": ""0"", ""JOURNAL OF LABOR ECONOMICS"": ""0"", ""JOURNAL OF PUBLIC ECONOMICS"": ""0"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""1"", ""AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY"": ""1"", ""JOURNAL OF LABOR ECONOMICS"": ""4"", ""JOURNAL OF PUBLIC ECONOMICS"": ""3"", ""promotion_university"": ""Louisiana State University"", ""promotion_year"": ""2013"", ""years_post_phd"": ""7""}","{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""0"", ""AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY"": ""0"", ""JOURNAL OF LABOR ECONOMICS"": ""0"", ""JOURNAL OF PUBLIC ECONOMICS"": ""0"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""0"", ""AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY"": ""0"", ""JOURNAL OF LABOR ECONOMICS"": ""0"", ""JOURNAL OF PUBLIC ECONOMICS"": ""0"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}"
UC Riverside/full/cv_TaeHwy.docx,JOURNAL OF ECONOMETRICS; JOURNAL OF INTERNATIONAL ECONOMICS,"{""JOURNAL OF ECONOMETRICS"": ""7"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0""}","{""JOURNAL OF ECONOMETRICS"": ""3"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""1""}","{""JOURNAL OF ECONOMETRICS"": ""8"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0""}","{""JOURNAL OF ECONOMETRICS"": ""6"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0""}","{""JOURNAL OF ECONOMETRICS"": ""8"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0""}"
UC Riverside/full/xiong_cv.docx,JOURNAL OF ECONOMIC THEORY; promotion_university; promotion_year; years_post_phd,"{""JOURNAL OF ECONOMIC THEORY"": ""6"", ""promotion_university"": ""University of Bristol"", ""promotion_year"": ""2013"", ""years_post_phd"": ""4""}","{""JOURNAL OF ECONOMIC THEORY"": ""5"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""JOURNAL OF ECONOMIC THEORY"": ""6"", ""promotion_university"": ""University of Bristol"", ""promotion_year"": ""2013"", ""years_post_phd"": ""4""}","{""JOURNAL OF ECONOMIC THEORY"": ""6"", ""promotion_university"": ""University of Bristol"", ""promotion_year"": ""2013"", ""years_post_phd"": ""4""}","{""JOURNAL OF ECONOMIC THEORY"": ""4"", ""promotion_university"": ""University of Bristol"", ""promotion_year"": ""2013"", ""years_post_phd"": ""4""}"
UC SantaBarbara/associate/CV_Kyle_Meng.docx,REVIEW OF ECONOMICS AND STATISTICS,"{""REVIEW OF ECONOMICS AND STATISTICS"": ""1""}","{""REVIEW OF ECONOMICS AND STATISTICS"": ""1""}","{""REVIEW OF ECONOMICS AND STATISTICS"": ""1""}","{""REVIEW OF ECONOMICS AND STATISTICS"": ""1""}","{""REVIEW OF ECONOMICS AND STATISTICS"": ""0""}"
UC SantaBarbara/associate/CV_alisa.docx,JOURNAL OF PUBLIC ECONOMICS,"{""JOURNAL OF PUBLIC ECONOMICS"": ""5""}","{""JOURNAL OF PUBLIC ECONOMICS"": ""5""}","{""JOURNAL OF PUBLIC ECONOMICS"": ""5""}","{""JOURNAL OF PUBLIC ECONOMICS"": ""5""}","{""JOURNAL OF PUBLIC ECONOMICS"": ""6""}"
UC SantaBarbara/associate/Martin_CV.pdf.docx,JOURNAL OF ECONOMIC THEORY,"{""JOURNAL OF ECONOMIC THEORY"": ""1""}","{""JOURNAL OF ECONOMIC THEORY"": ""1""}","{""JOURNAL OF ECONOMIC THEORY"": ""1""}","{""JOURNAL OF ECONOMIC THEORY"": ""1""}","{""JOURNAL OF ECONOMIC THEORY"": ""2""}"
UC SantaBarbara/associate/cv_Millner.docx,years_post_phd,"{""years_post_phd"": """"}","{""years_post_phd"": """"}","{""years_post_phd"": ""11""}","{""years_post_phd"": """"}","{""years_post_phd"": """"}"
UC SantaBarbara/full/CVTedB21.docx,AMERICAN ECONOMIC REVIEW; JOURNAL OF ECONOMIC THEORY; JOURNAL OF POLITICAL ECONOMY; REVIEW OF ECONOMIC STUDIES; promotion_university; promotion_year,"{""AMERICAN ECONOMIC REVIEW"": ""7"", ""JOURNAL OF ECONOMIC THEORY"": ""3"", ""JOURNAL OF POLITICAL ECONOMY"": ""4"", ""REVIEW OF ECONOMIC STUDIES"": ""3"", ""promotion_university"": ""Washington University in St. Louis"", ""promotion_year"": """"}","{""AMERICAN ECONOMIC REVIEW"": ""4"", ""JOURNAL OF ECONOMIC THEORY"": ""3"", ""JOURNAL OF POLITICAL ECONOMY"": ""3"", ""REVIEW OF ECONOMIC STUDIES"": ""3"", ""promotion_university"": """", ""promotion_year"": """"}","{""AMERICAN ECONOMIC REVIEW"": ""7"", ""JOURNAL OF ECONOMIC THEORY"": ""3"", ""JOURNAL OF POLITICAL ECONOMY"": ""4"", ""REVIEW OF ECONOMIC STUDIES"": ""3"", ""promotion_university"": ""Washington University in St. Louis"", ""promotion_year"": ""1964""}","{""AMERICAN ECONOMIC REVIEW"": ""7"", ""JOURNAL OF ECONOMIC THEORY"": ""4"", ""JOURNAL OF POLITICAL ECONOMY"": ""4"", ""REVIEW OF ECONOMIC STUDIES"": ""3"", ""promotion_university"": """", ""promotion_year"": """"}","{""AMERICAN ECONOMIC REVIEW"": ""3"", ""JOURNAL OF ECONOMIC THEORY"": ""4"", ""JOURNAL OF POLITICAL ECONOMY"": ""3"", ""REVIEW OF ECONOMIC STUDIES"": ""2"", ""promotion_university"": """", ""promotion_year"": """"}"
UC SantaBarbara/full/CV_Bedard.docx,promotion_university,"{""promotion_university"": ""University of California, Santa Barbara""}","{""promotion_university"": ""University of California, Santa Barbara""}","{""promotion_university"": ""University of California, Santa Barbara""}","{""promotion_university"": ""University of California, Santa Barbara""}","{""promotion_university"": ""University of California Santa Barbara""}"
UC SantaBarbara/full/CV_qin.docx,JOURNAL OF ECONOMIC THEORY,"{""JOURNAL OF ECONOMIC THEORY"": ""4""}","{""JOURNAL OF ECONOMIC THEORY"": ""4""}","{""JOURNAL OF ECONOMIC THEORY"": ""5""}","{""JOURNAL OF ECONOMIC THEORY"": ""5""}","{""JOURNAL OF ECONOMIC THEORY"": ""6""}"
UC SantaBarbara/full/cv2024_Esponda.docx,AMERICAN ECONOMIC REVIEW,"{""AMERICAN ECONOMIC REVIEW"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""1""}"
UC SantaBarbara/full/cv_november_2024_lundberg.docx,AMERICAN ECONOMIC REVIEW; JOURNAL OF LABOR ECONOMICS; JOURNAL OF PUBLIC ECONOMICS; REVIEW OF ECONOMICS AND STATISTICS,"{""AMERICAN ECONOMIC REVIEW"": ""2"", ""JOURNAL OF LABOR ECONOMICS"": ""4"", ""JOURNAL OF PUBLIC ECONOMICS"": ""1"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""3""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""JOURNAL OF LABOR ECONOMICS"": ""2"", ""JOURNAL OF PUBLIC ECONOMICS"": ""1"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""JOURNAL OF LABOR ECONOMICS"": ""4"", ""JOURNAL OF PUBLIC ECONOMICS"": ""1"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""3""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""JOURNAL OF LABOR ECONOMICS"": ""3"", ""JOURNAL OF PUBLIC ECONOMICS"": ""1"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""3""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""JOURNAL OF LABOR ECONOMICS"": ""2"", ""JOURNAL OF PUBLIC ECONOMICS"": ""2"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""2""}"
UC SantaBarbara/full/cv_royer.docx,AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS; JOURNAL OF LABOR ECONOMICS; promotion_university; promotion_year; years_post_phd,"{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""4"", ""JOURNAL OF LABOR ECONOMICS"": ""3"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""3"", ""JOURNAL OF LABOR ECONOMICS"": ""3"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""4"", ""JOURNAL OF LABOR ECONOMICS"": ""3"", ""promotion_university"": ""University of California-Santa Barbara"", ""promotion_year"": ""2012"", ""years_post_phd"": ""8""}","{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""4"", ""JOURNAL OF LABOR ECONOMICS"": ""4"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""3"", ""JOURNAL OF LABOR ECONOMICS"": ""3"", ""promotion_university"": ""University of California-Santa Barbara"", ""promotion_year"": ""2007"", ""years_post_phd"": ""3""}"
UC SantaBarbara/full/deschenes_current_cv.docx,AMERICAN ECONOMIC REVIEW,"{""AMERICAN ECONOMIC REVIEW"": ""6""}","{""AMERICAN ECONOMIC REVIEW"": ""4""}","{""AMERICAN ECONOMIC REVIEW"": ""4""}","{""AMERICAN ECONOMIC REVIEW"": ""5""}","{""AMERICAN ECONOMIC REVIEW"": ""3""}"
UC SantaBarbara/full/garratt_vita_july_2025-3.docx,INTERNATIONAL ECONOMIC REVIEW; JOURNAL OF ECONOMIC THEORY,"{""INTERNATIONAL ECONOMIC REVIEW"": ""1"", ""JOURNAL OF ECONOMIC THEORY"": ""6""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""1"", ""JOURNAL OF ECONOMIC THEORY"": ""3""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""1"", ""JOURNAL OF ECONOMIC THEORY"": ""6""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""1"", ""JOURNAL OF ECONOMIC THEORY"": ""5""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""2"", ""JOURNAL OF ECONOMIC THEORY"": ""5""}"
UC SantaBarbara/full/rupert-cv.docx,INTERNATIONAL ECONOMIC REVIEW; JOURNAL OF ECONOMIC THEORY; JOURNAL OF MONETARY ECONOMICS,"{""INTERNATIONAL ECONOMIC REVIEW"": ""3"", ""JOURNAL OF ECONOMIC THEORY"": ""3"", ""JOURNAL OF MONETARY ECONOMICS"": ""8""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""3"", ""JOURNAL OF ECONOMIC THEORY"": ""3"", ""JOURNAL OF MONETARY ECONOMICS"": ""7""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""3"", ""JOURNAL OF ECONOMIC THEORY"": ""3"", ""JOURNAL OF MONETARY ECONOMICS"": ""7""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""3"", ""JOURNAL OF ECONOMIC THEORY"": ""3"", ""JOURNAL OF MONETARY ECONOMICS"": ""7""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""2"", ""JOURNAL OF ECONOMIC THEORY"": ""2"", ""JOURNAL OF MONETARY ECONOMICS"": ""4""}"
UC SantaBarbara/full/vita_Kuhn.docx,AMERICAN ECONOMIC REVIEW; JOURNAL OF INTERNATIONAL ECONOMICS; JOURNAL OF LABOR ECONOMICS; QUARTERLY JOURNAL OF ECONOMICS; promotion_year; years_post_phd,"{""AMERICAN ECONOMIC REVIEW"": ""6"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""2"", ""JOURNAL OF LABOR ECONOMICS"": ""13"", ""QUARTERLY JOURNAL OF ECONOMICS"": ""2"", ""promotion_year"": ""1988"", ""years_post_phd"": ""5""}","{""AMERICAN ECONOMIC REVIEW"": ""3"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""1"", ""JOURNAL OF LABOR ECONOMICS"": ""5"", ""QUARTERLY JOURNAL OF ECONOMICS"": ""1"", ""promotion_year"": ""1994"", ""years_post_phd"": ""11""}","{""AMERICAN ECONOMIC REVIEW"": ""6"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""2"", ""JOURNAL OF LABOR ECONOMICS"": ""11"", ""QUARTERLY JOURNAL OF ECONOMICS"": ""2"", ""promotion_year"": ""1988"", ""years_post_phd"": ""5""}","{""AMERICAN ECONOMIC REVIEW"": ""5"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""2"", ""JOURNAL OF LABOR ECONOMICS"": ""11"", ""QUARTERLY JOURNAL OF ECONOMICS"": ""2"", ""promotion_year"": ""1988"", ""years_post_phd"": ""5""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""1"", ""JOURNAL OF LABOR ECONOMICS"": ""5"", ""QUARTERLY JOURNAL OF ECONOMICS"": ""1"", ""promotion_year"": ""1988"", ""years_post_phd"": ""5""}"
UC SantaBarbara/full/vita_startz.docx,AMERICAN ECONOMIC REVIEW; JOURNAL OF ECONOMETRICS; JOURNAL OF MONETARY ECONOMICS; REVIEW OF ECONOMICS AND STATISTICS,"{""AMERICAN ECONOMIC REVIEW"": ""3"", ""JOURNAL OF ECONOMETRICS"": ""4"", ""JOURNAL OF MONETARY ECONOMICS"": ""4"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""3""}","{""AMERICAN ECONOMIC REVIEW"": ""4"", ""JOURNAL OF ECONOMETRICS"": ""3"", ""JOURNAL OF MONETARY ECONOMICS"": ""2"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""3"", ""JOURNAL OF ECONOMETRICS"": ""4"", ""JOURNAL OF MONETARY ECONOMICS"": ""4"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""3""}","{""AMERICAN ECONOMIC REVIEW"": ""3"", ""JOURNAL OF ECONOMETRICS"": ""4"", ""JOURNAL OF MONETARY ECONOMICS"": ""4"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""4""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""JOURNAL OF ECONOMETRICS"": ""3"", ""JOURNAL OF MONETARY ECONOMICS"": ""2"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""2""}"
UC SantaCruz/associate/CV Natalia.docx,REVIEW OF ECONOMIC STUDIES; promotion_university; promotion_year; years_post_phd,"{""REVIEW OF ECONOMIC STUDIES"": ""0"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""REVIEW OF ECONOMIC STUDIES"": ""0"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""REVIEW OF ECONOMIC STUDIES"": ""0"", ""promotion_university"": ""University of California, Santa Cruz"", ""promotion_year"": ""2021"", ""years_post_phd"": ""10""}","{""REVIEW OF ECONOMIC STUDIES"": ""0"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""REVIEW OF ECONOMIC STUDIES"": ""1"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}"
UC SantaCruz/associate/Li-cv.docx,JOURNAL OF ECONOMETRICS,"{""JOURNAL OF ECONOMETRICS"": ""3""}","{""JOURNAL OF ECONOMETRICS"": ""2""}","{""JOURNAL OF ECONOMETRICS"": ""3""}","{""JOURNAL OF ECONOMETRICS"": ""3""}","{""JOURNAL OF ECONOMETRICS"": ""4""}"
UC SantaCruz/associate/Vitae_Christensen.docx,promotion_university,"{""promotion_university"": ""University of Illinois, Urbana-Champaign""}","{""promotion_university"": ""University of Illinois, Urbana-Champaign""}","{""promotion_university"": ""University of Illinois, Urbana-Champaign""}","{""promotion_university"": ""University of Illinois, Urbana-Champaign""}","{""promotion_university"": ""University of Illinois at Urbana-Champaign""}"
UC SantaCruz/associate/cv_shenoy.docx,JOURNAL OF DEVELOPMENT ECONOMICS; JOURNAL OF LABOR ECONOMICS; JOURNAL OF PUBLIC ECONOMICS; REVIEW OF ECONOMICS AND STATISTICS; promotion_university; promotion_year; years_post_phd,"{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""0"", ""JOURNAL OF LABOR ECONOMICS"": ""0"", ""JOURNAL OF PUBLIC ECONOMICS"": ""0"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""0"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""0"", ""JOURNAL OF LABOR ECONOMICS"": ""0"", ""JOURNAL OF PUBLIC ECONOMICS"": ""0"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""0"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""4"", ""JOURNAL OF LABOR ECONOMICS"": ""1"", ""JOURNAL OF PUBLIC ECONOMICS"": ""1"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""1"", ""promotion_university"": ""University of California, Santa Cruz"", ""promotion_year"": ""2021"", ""years_post_phd"": ""6""}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""0"", ""JOURNAL OF LABOR ECONOMICS"": ""0"", ""JOURNAL OF PUBLIC ECONOMICS"": ""0"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""0"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""0"", ""JOURNAL OF LABOR ECONOMICS"": ""0"", ""JOURNAL OF PUBLIC ECONOMICS"": ""0"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""0"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}"
UC SantaCruz/associate/cv_vargas.docx,promotion_university,"{""promotion_university"": ""University of California, Santa Cruz""}","{""promotion_university"": """"}","{""promotion_university"": ""University of California, Santa Cruz""}","{""promotion_university"": """"}","{""promotion_university"": """"}"
UC SantaCruz/associate/hikaru_saijo_cv.docx,years_post_phd,"{""years_post_phd"": ""8""}","{""years_post_phd"": """"}","{""years_post_phd"": ""8""}","{""years_post_phd"": ""8""}","{""years_post_phd"": ""8""}"
UC SantaCruz/full/CV_Spearot.docx,JOURNAL OF INTERNATIONAL ECONOMICS; promotion_university; promotion_year; years_post_phd,"{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""2"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""3"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""2"", ""promotion_university"": ""University of California, Santa Cruz"", ""promotion_year"": ""2013"", ""years_post_phd"": ""6""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""2"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""2"", ""promotion_university"": ""University of California \u2013 Santa Cruz"", ""promotion_year"": ""2012"", ""years_post_phd"": ""5""}"
UC SantaCruz/full/CV_robinson.docx,AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS; AMERICAN ECONOMIC REVIEW; JOURNAL OF DEVELOPMENT ECONOMICS,"{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""6"", ""AMERICAN ECONOMIC REVIEW"": ""5"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""6""}","{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""5"", ""AMERICAN ECONOMIC REVIEW"": ""3"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""5""}","{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""7"", ""AMERICAN ECONOMIC REVIEW"": ""4"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""6""}","{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""5"", ""AMERICAN ECONOMIC REVIEW"": ""4"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""5""}","{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""4"", ""AMERICAN ECONOMIC REVIEW"": ""3"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""6""}"
UC SantaCruz/full/Dobkin_CV.docx,AMERICAN ECONOMIC REVIEW,"{""AMERICAN ECONOMIC REVIEW"": ""3""}","{""AMERICAN ECONOMIC REVIEW"": ""3""}","{""AMERICAN ECONOMIC REVIEW"": ""3""}","{""AMERICAN ECONOMIC REVIEW"": ""3""}","{""AMERICAN ECONOMIC REVIEW"": ""2""}"
UC SantaCruz/full/HaleCV2p.docx,promotion_university; promotion_year; years_post_phd,"{""promotion_university"": ""University of California, Santa Cruz"", ""promotion_year"": ""2020"", ""years_post_phd"": ""18""}","{""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""promotion_university"": ""University of California, Santa Cruz"", ""promotion_year"": ""2020"", ""years_post_phd"": ""18""}","{""promotion_university"": ""University of California, Santa Cruz"", ""promotion_year"": ""2020"", ""years_post_phd"": ""18""}","{""promotion_university"": ""University of California, Santa Cruz"", ""promotion_year"": ""2020"", ""years_post_phd"": ""18""}"
UC SantaCruz/full/cv_marion.docx,JOURNAL OF PUBLIC ECONOMICS,"{""JOURNAL OF PUBLIC ECONOMICS"": ""4""}","{""JOURNAL OF PUBLIC ECONOMICS"": ""4""}","{""JOURNAL OF PUBLIC ECONOMICS"": ""5""}","{""JOURNAL OF PUBLIC ECONOMICS"": ""4""}","{""JOURNAL OF PUBLIC ECONOMICS"": ""4""}"
UC SantaCruz/full/cv_michaillat.docx,name,"{""name"": ""Pascal Michaillat""}","{""name"": ""Pascal Michaillat""}","{""name"": ""Pascal Michaillat""}","{""name"": ""Pascal Michailat""}","{""name"": ""Pascal Michailat""}"
UC SantaCruz/full/kletzer_vitae_01-15.docx,AMERICAN ECONOMIC REVIEW; ECONOMIC JOURNAL; INTERNATIONAL ECONOMIC REVIEW,"{""AMERICAN ECONOMIC REVIEW"": ""2"", ""ECONOMIC JOURNAL"": ""2"", ""INTERNATIONAL ECONOMIC REVIEW"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""ECONOMIC JOURNAL"": ""2"", ""INTERNATIONAL ECONOMIC REVIEW"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""ECONOMIC JOURNAL"": ""2"", ""INTERNATIONAL ECONOMIC REVIEW"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""ECONOMIC JOURNAL"": ""2"", ""INTERNATIONAL ECONOMIC REVIEW"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""ECONOMIC JOURNAL"": ""3"", ""INTERNATIONAL ECONOMIC REVIEW"": ""1""}"
UC SantaCruz/full/laura_giuliano_cv_short__jan2022.docx,name,"{""name"": ""Laura Giuliano""}","{""name"": """"}","{""name"": ""Laura Giuliano""}","{""name"": """"}","{""name"": ""Laura Giuliano""}"
UIUC/associate/AdamOsman_CV.docx,JOURNAL OF DEVELOPMENT ECONOMICS,"{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""4""}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""1""}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""4""}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""2""}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""2""}"
