file,diff_fields,present_models,missing_models,claude_values,deepseek_values,gemini_values,gpt_values,kimi_values
USC/full/CVOliva.docx,AMERICAN ECONOMIC REVIEW; promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC REVIEW"": ""0"", ""promotion_university"": ""University of California, Irvine"", ""promotion_year"": ""2016"", ""years_post_phd"": ""7""}","{""AMERICAN ECONOMIC REVIEW"": ""0"", ""promotion_university"": ""University of California, Irvine"", ""promotion_year"": ""2016"", ""years_post_phd"": ""7""}","{""AMERICAN ECONOMIC REVIEW"": ""0"", ""promotion_university"": ""University of California, Irvine"", ""promotion_year"": ""2016"", ""years_post_phd"": ""7""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""promotion_university"": ""University of Southern California"", ""promotion_year"": ""2018"", ""years_post_phd"": ""9""}","{""AMERICAN ECONOMIC REVIEW"": ""0"", ""promotion_university"": ""University of California, Irvine"", ""promotion_year"": ""2016"", ""years_post_phd"": ""7""}"
USC/full/CV_moon.docx,AMERICAN ECONOMIC REVIEW; ECONOMETRICA; JOURNAL OF ECONOMETRICS,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC REVIEW"": ""0"", ""ECONOMETRICA"": ""5"", ""JOURNAL OF ECONOMETRICS"": ""11""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""ECONOMETRICA"": ""5"", ""JOURNAL OF ECONOMETRICS"": ""10""}","{""AMERICAN ECONOMIC REVIEW"": ""0"", ""ECONOMETRICA"": ""5"", ""JOURNAL OF ECONOMETRICS"": ""10""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""ECONOMETRICA"": ""4"", ""JOURNAL OF ECONOMETRICS"": ""7""}","{""AMERICAN ECONOMIC REVIEW"": ""0"", ""ECONOMETRICA"": ""5"", ""JOURNAL OF ECONOMETRICS"": ""11""}"
USC/full/Guofu Tan-CV-CRA-0326-2017.docx,THEORETICAL ECONOMICS; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""THEORETICAL ECONOMICS"": ""3"", ""years_post_phd"": ""6""}","{""THEORETICAL ECONOMICS"": ""0"", ""years_post_phd"": """"}","{""THEORETICAL ECONOMICS"": ""0"", ""years_post_phd"": ""6""}","{""THEORETICAL ECONOMICS"": ""0"", ""years_post_phd"": ""6""}","{""THEORETICAL ECONOMICS"": ""0"", ""years_post_phd"": ""6""}"
USC/full/Magill_CV_01_2017.docx,INTERNATIONAL ECONOMIC REVIEW; promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""INTERNATIONAL ECONOMIC REVIEW"": ""3"", ""promotion_university"": ""Indiana University"", ""promotion_year"": ""1976"", ""years_post_phd"": ""6""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""4"", ""promotion_university"": ""Indiana University"", ""promotion_year"": ""1976"", ""years_post_phd"": ""6""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""4"", ""promotion_university"": ""Indiana University"", ""promotion_year"": ""1976"", ""years_post_phd"": ""6""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""4"", ""promotion_university"": ""University of Southern California"", ""promotion_year"": ""1979"", ""years_post_phd"": ""9""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""4"", ""promotion_university"": ""Indiana University"", ""promotion_year"": ""1976"", ""years_post_phd"": ""6""}"
USC/full/Matthew E. Kahn Vita.docx,AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS; AMERICAN ECONOMIC REVIEW; JOURNAL OF PUBLIC ECONOMICS; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""2"", ""AMERICAN ECONOMIC REVIEW"": ""3"", ""JOURNAL OF PUBLIC ECONOMICS"": ""3"", ""years_post_phd"": ""7""}","{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""1"", ""AMERICAN ECONOMIC REVIEW"": ""1"", ""JOURNAL OF PUBLIC ECONOMICS"": ""4"", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""1"", ""AMERICAN ECONOMIC REVIEW"": ""1"", ""JOURNAL OF PUBLIC ECONOMICS"": ""5"", ""years_post_phd"": ""7""}","{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""1"", ""AMERICAN ECONOMIC REVIEW"": ""1"", ""JOURNAL OF PUBLIC ECONOMICS"": ""2"", ""years_post_phd"": ""7""}","{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""1"", ""AMERICAN ECONOMIC REVIEW"": ""1"", ""JOURNAL OF PUBLIC ECONOMICS"": ""3"", ""years_post_phd"": ""7""}"
USC/full/cv_armstrong.docx,JOURNAL OF ECONOMETRICS; promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF ECONOMETRICS"": ""4"", ""promotion_university"": ""Yale University"", ""promotion_year"": ""2018"", ""years_post_phd"": ""6""}","{""JOURNAL OF ECONOMETRICS"": ""5"", ""promotion_university"": ""Yale University"", ""promotion_year"": ""2018"", ""years_post_phd"": ""6""}","{""JOURNAL OF ECONOMETRICS"": ""5"", ""promotion_university"": ""University of Southern California"", ""promotion_year"": ""2021"", ""years_post_phd"": ""9""}","{""JOURNAL OF ECONOMETRICS"": ""4"", ""promotion_university"": ""Yale University"", ""promotion_year"": ""2021"", ""years_post_phd"": ""9""}","{""JOURNAL OF ECONOMETRICS"": ""5"", ""promotion_university"": ""Yale University"", ""promotion_year"": ""2018"", ""years_post_phd"": ""6""}"
USC/full/cv_carrillo.docx,REVIEW OF ECONOMIC STUDIES; promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""REVIEW OF ECONOMIC STUDIES"": ""2"", ""promotion_university"": ""University of Southern California"", ""promotion_year"": ""2003"", ""years_post_phd"": ""7""}","{""REVIEW OF ECONOMIC STUDIES"": ""3"", ""promotion_university"": ""Free University of Brussels"", ""promotion_year"": ""2000"", ""years_post_phd"": ""4""}","{""REVIEW OF ECONOMIC STUDIES"": ""3"", ""promotion_university"": ""Free University of Brussels"", ""promotion_year"": ""2000"", ""years_post_phd"": ""4""}","{""REVIEW OF ECONOMIC STUDIES"": ""2"", ""promotion_university"": ""University of Southern California"", ""promotion_year"": ""2003"", ""years_post_phd"": ""7""}","{""REVIEW OF ECONOMIC STUDIES"": ""2"", ""promotion_university"": ""Free University of Brussels"", ""promotion_year"": ""2000"", ""years_post_phd"": ""4""}"
USC/full/romainranciere.docx,name; promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""name"": ""Romain Ranci\u00e8re"", ""promotion_university"": ""Paris School of Economics"", ""promotion_year"": ""2009"", ""years_post_phd"": ""6""}","{""name"": ""Romain Ranci`ere"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""name"": ""Romain Ranci\u00e8re"", ""promotion_university"": ""Paris School of Economics"", ""promotion_year"": ""2009"", ""years_post_phd"": ""6""}","{""name"": ""Romain Ranci\u00e8re"", ""promotion_university"": ""Paris School of Economics"", ""promotion_year"": ""2009"", ""years_post_phd"": ""6""}","{""name"": ""Romain Ranciere"", ""promotion_university"": ""Paris School of Economics"", ""promotion_year"": ""2009"", ""years_post_phd"": ""6""}"
USC/full/strauss.docx,AMERICAN ECONOMIC REVIEW; JOURNAL OF DEVELOPMENT ECONOMICS,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC REVIEW"": ""1"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""9""}","{""AMERICAN ECONOMIC REVIEW"": ""0"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""9""}","{""AMERICAN ECONOMIC REVIEW"": ""0"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""9""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""10""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""9""}"
USC/full/vita_Betts.docx,JOURNAL OF ECONOMIC THEORY,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF ECONOMIC THEORY"": ""1""}","{""JOURNAL OF ECONOMIC THEORY"": ""0""}","{""JOURNAL OF ECONOMIC THEORY"": ""0""}","{""JOURNAL OF ECONOMIC THEORY"": ""0""}","{""JOURNAL OF ECONOMIC THEORY"": ""0""}"
USC/full/vita_Brocas.docx,AMERICAN ECONOMIC REVIEW; name; promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC REVIEW"": ""3"", ""name"": ""Isabelle Brocas"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC REVIEW"": ""3"", ""name"": """", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""name"": ""Isabelle Brocas"", ""promotion_university"": ""University of Southern California"", ""promotion_year"": ""2010"", ""years_post_phd"": ""12""}","{""AMERICAN ECONOMIC REVIEW"": ""3"", ""name"": ""Isabelle Brocas"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""name"": ""Isabelle Brocas"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}"
USC/full/vita_Hsiao.docx,INTERNATIONAL ECONOMIC REVIEW; JOURNAL OF ECONOMETRICS; promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""INTERNATIONAL ECONOMIC REVIEW"": ""6"", ""JOURNAL OF ECONOMETRICS"": ""23"", ""promotion_university"": ""University of Southern California"", ""promotion_year"": ""1985"", ""years_post_phd"": ""13""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""6"", ""JOURNAL OF ECONOMETRICS"": ""28"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""INTERNATIONAL ECONOMIC REVIEW"": ""6"", ""JOURNAL OF ECONOMETRICS"": ""31"", ""promotion_university"": ""University of Toronto"", ""promotion_year"": ""1977"", ""years_post_phd"": ""5""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""5"", ""JOURNAL OF ECONOMETRICS"": ""30"", ""promotion_university"": ""University of Southern California"", ""promotion_year"": ""1985"", ""years_post_phd"": ""13""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""6"", ""JOURNAL OF ECONOMETRICS"": ""22"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}"
USC/full/vita_chaney.docx,promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""promotion_university"": ""Toulouse School of Economics"", ""promotion_year"": ""2012"", ""years_post_phd"": ""7""}","{""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""promotion_university"": ""Toulouse School of Economics"", ""promotion_year"": ""2012"", ""years_post_phd"": ""7""}","{""promotion_university"": ""Toulouse School of Economics"", ""promotion_year"": ""2012"", ""years_post_phd"": ""7""}","{""promotion_university"": ""Toulouse School of Economics"", ""promotion_year"": ""2012"", ""years_post_phd"": ""7""}"
USC/full/vita_dekle.docx,JOURNAL OF INTERNATIONAL ECONOMICS,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""1""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""1""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""1""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""3""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""1""}"
USC/full/vita_ridder.docx,AMERICAN ECONOMIC REVIEW; JOURNAL OF ECONOMETRICS; promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC REVIEW"": ""1"", ""JOURNAL OF ECONOMETRICS"": ""8"", ""promotion_university"": ""University of Groningen"", ""promotion_year"": ""1987"", ""years_post_phd"": ""0""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""JOURNAL OF ECONOMETRICS"": ""8"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC REVIEW"": ""0"", ""JOURNAL OF ECONOMETRICS"": ""8"", ""promotion_university"": ""University of Groningen"", ""promotion_year"": ""1987"", ""years_post_phd"": ""0""}","{""AMERICAN ECONOMIC REVIEW"": ""0"", ""JOURNAL OF ECONOMETRICS"": ""7"", ""promotion_university"": ""University of Groningen"", ""promotion_year"": ""1987"", ""years_post_phd"": ""0""}","{""AMERICAN ECONOMIC REVIEW"": ""0"", ""JOURNAL OF ECONOMETRICS"": ""8"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}"
Vanderbilt/full/Bond cv 1 25.docx,AMERICAN ECONOMIC REVIEW; JOURNAL OF ECONOMIC THEORY; JOURNAL OF INTERNATIONAL ECONOMICS; JOURNAL OF POLITICAL ECONOMY; promotion_year,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC REVIEW"": ""4"", ""JOURNAL OF ECONOMIC THEORY"": ""3"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""9"", ""JOURNAL OF POLITICAL ECONOMY"": ""2"", ""promotion_year"": """"}","{""AMERICAN ECONOMIC REVIEW"": ""4"", ""JOURNAL OF ECONOMIC THEORY"": ""1"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""10"", ""JOURNAL OF POLITICAL ECONOMY"": ""2"", ""promotion_year"": """"}","{""AMERICAN ECONOMIC REVIEW"": ""4"", ""JOURNAL OF ECONOMIC THEORY"": ""1"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""10"", ""JOURNAL OF POLITICAL ECONOMY"": ""2"", ""promotion_year"": """"}","{""AMERICAN ECONOMIC REVIEW"": ""3"", ""JOURNAL OF ECONOMIC THEORY"": ""1"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""10"", ""JOURNAL OF POLITICAL ECONOMY"": ""1"", ""promotion_year"": ""1981""}","{""AMERICAN ECONOMIC REVIEW"": ""3"", ""JOURNAL OF ECONOMIC THEORY"": ""1"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""11"", ""JOURNAL OF POLITICAL ECONOMY"": ""2"", ""promotion_year"": """"}"
Vanderbilt/full/CV_June_2023.docx,AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS; AMERICAN ECONOMIC REVIEW,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""4"", ""AMERICAN ECONOMIC REVIEW"": ""1""}","{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""4"", ""AMERICAN ECONOMIC REVIEW"": ""2""}","{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""4"", ""AMERICAN ECONOMIC REVIEW"": ""1""}","{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""3"", ""AMERICAN ECONOMIC REVIEW"": ""1""}","{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""4"", ""AMERICAN ECONOMIC REVIEW"": ""1""}"
Vanderbilt/full/Christopher-S-Carpenter-cv-2024-08-11.docx,AMERICAN ECONOMIC REVIEW; name; promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC REVIEW"": ""1"", ""name"": ""Christopher Carpenter"", ""promotion_university"": ""Vanderbilt University"", ""promotion_year"": ""2013"", ""years_post_phd"": ""11""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""name"": ""Christopher (Kitt) Carpenter"", ""promotion_university"": ""University of California at Irvine"", ""promotion_year"": ""2009"", ""years_post_phd"": ""7""}","{""AMERICAN ECONOMIC REVIEW"": ""0"", ""name"": ""Christopher (Kitt) Carpenter"", ""promotion_university"": ""University of California at Irvine"", ""promotion_year"": ""2009"", ""years_post_phd"": ""7""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""name"": ""CHRISTOPHER (KITT) CARPENTER"", ""promotion_university"": ""Vanderbilt University"", ""promotion_year"": ""2013"", ""years_post_phd"": ""11""}","{""AMERICAN ECONOMIC REVIEW"": ""0"", ""name"": ""Christopher (Kitt) Carpenter"", ""promotion_university"": ""University of California at Irvine"", ""promotion_year"": ""2009"", ""years_post_phd"": ""7""}"
Vanderbilt/full/HuffmanCV.docx,JOURNAL OF MONETARY ECONOMICS,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF MONETARY ECONOMICS"": ""4""}","{""JOURNAL OF MONETARY ECONOMICS"": ""5""}","{""JOURNAL OF MONETARY ECONOMICS"": ""5""}","{""JOURNAL OF MONETARY ECONOMICS"": ""4""}","{""JOURNAL OF MONETARY ECONOMICS"": ""4""}"
Vanderbilt/full/J-P-Conley-CV-2024-04-23.docx,JOURNAL OF ECONOMIC THEORY; JOURNAL OF PUBLIC ECONOMICS,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF ECONOMIC THEORY"": ""3"", ""JOURNAL OF PUBLIC ECONOMICS"": ""2""}","{""JOURNAL OF ECONOMIC THEORY"": ""3"", ""JOURNAL OF PUBLIC ECONOMICS"": ""2""}","{""JOURNAL OF ECONOMIC THEORY"": ""3"", ""JOURNAL OF PUBLIC ECONOMICS"": ""2""}","{""JOURNAL OF ECONOMIC THEORY"": ""2"", ""JOURNAL OF PUBLIC ECONOMICS"": ""1""}","{""JOURNAL OF ECONOMIC THEORY"": ""3"", ""JOURNAL OF PUBLIC ECONOMICS"": ""2""}"
Vanderbilt/full/Kevin-Huang_CV_2023-3.docx,JOURNAL OF ECONOMIC THEORY; JOURNAL OF MONETARY ECONOMICS,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF ECONOMIC THEORY"": ""1"", ""JOURNAL OF MONETARY ECONOMICS"": ""4""}","{""JOURNAL OF ECONOMIC THEORY"": ""1"", ""JOURNAL OF MONETARY ECONOMICS"": ""5""}","{""JOURNAL OF ECONOMIC THEORY"": ""1"", ""JOURNAL OF MONETARY ECONOMICS"": ""5""}","{""JOURNAL OF ECONOMIC THEORY"": ""3"", ""JOURNAL OF MONETARY ECONOMICS"": ""4""}","{""JOURNAL OF ECONOMIC THEORY"": ""1"", ""JOURNAL OF MONETARY ECONOMICS"": ""4""}"
Vanderbilt/full/RousseauCV.docx,AMERICAN ECONOMIC REVIEW; ECONOMIC JOURNAL; JOURNAL OF DEVELOPMENT ECONOMICS,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC REVIEW"": ""3"", ""ECONOMIC JOURNAL"": ""0"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""4"", ""ECONOMIC JOURNAL"": ""0"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""3"", ""ECONOMIC JOURNAL"": ""0"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""3"", ""ECONOMIC JOURNAL"": ""1"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""3"", ""ECONOMIC JOURNAL"": ""0"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""1""}"
Vanderbilt/full/SaggiKCV-1.docx,ECONOMIC JOURNAL; INTERNATIONAL ECONOMIC REVIEW; JOURNAL OF DEVELOPMENT ECONOMICS; JOURNAL OF INTERNATIONAL ECONOMICS; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""ECONOMIC JOURNAL"": ""2"", ""INTERNATIONAL ECONOMIC REVIEW"": ""3"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""5"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""10"", ""years_post_phd"": ""6""}","{""ECONOMIC JOURNAL"": ""3"", ""INTERNATIONAL ECONOMIC REVIEW"": ""3"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""6"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""15"", ""years_post_phd"": ""6""}","{""ECONOMIC JOURNAL"": ""3"", ""INTERNATIONAL ECONOMIC REVIEW"": ""3"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""6"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""15"", ""years_post_phd"": ""6""}","{""ECONOMIC JOURNAL"": ""3"", ""INTERNATIONAL ECONOMIC REVIEW"": ""4"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""5"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""14"", ""years_post_phd"": ""15""}","{""ECONOMIC JOURNAL"": ""3"", ""INTERNATIONAL ECONOMIC REVIEW"": ""3"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""6"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""14"", ""years_post_phd"": ""6""}"
Vanderbilt/full/SasakiCV.docx,JOURNAL OF ECONOMETRICS; QUANTITATIVE ECONOMICS; REVIEW OF ECONOMICS AND STATISTICS; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF ECONOMETRICS"": ""14"", ""QUANTITATIVE ECONOMICS"": ""2"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""1"", ""promotion_year"": ""2017"", ""years_post_phd"": ""5""}","{""JOURNAL OF ECONOMETRICS"": ""18"", ""QUANTITATIVE ECONOMICS"": ""3"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""1"", ""promotion_year"": ""2023"", ""years_post_phd"": ""11""}","{""JOURNAL OF ECONOMETRICS"": ""18"", ""QUANTITATIVE ECONOMICS"": ""3"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""1"", ""promotion_year"": ""2017"", ""years_post_phd"": ""5""}","{""JOURNAL OF ECONOMETRICS"": ""12"", ""QUANTITATIVE ECONOMICS"": ""2"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""2"", ""promotion_year"": ""2023"", ""years_post_phd"": ""11""}","{""JOURNAL OF ECONOMETRICS"": ""20"", ""QUANTITATIVE ECONOMICS"": ""3"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""2"", ""promotion_year"": ""2017"", ""years_post_phd"": ""5""}"
Vanderbilt/full/Viscusi_CV_biblio_021725.docx,AMERICAN ECONOMIC REVIEW; INTERNATIONAL ECONOMIC REVIEW; JOURNAL OF LABOR ECONOMICS; JOURNAL OF PUBLIC ECONOMICS; JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION; RAND JOURNAL OF ECONOMICS; REVIEW OF ECONOMICS AND STATISTICS; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC REVIEW"": ""6"", ""INTERNATIONAL ECONOMIC REVIEW"": ""3"", ""JOURNAL OF LABOR ECONOMICS"": ""1"", ""JOURNAL OF PUBLIC ECONOMICS"": ""1"", ""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""0"", ""RAND JOURNAL OF ECONOMICS"": ""2"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""6"", ""years_post_phd"": ""4""}","{""AMERICAN ECONOMIC REVIEW"": ""5"", ""INTERNATIONAL ECONOMIC REVIEW"": ""2"", ""JOURNAL OF LABOR ECONOMICS"": ""2"", ""JOURNAL OF PUBLIC ECONOMICS"": ""2"", ""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""0"", ""RAND JOURNAL OF ECONOMICS"": ""4"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""6"", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC REVIEW"": ""11"", ""INTERNATIONAL ECONOMIC REVIEW"": ""3"", ""JOURNAL OF LABOR ECONOMICS"": ""2"", ""JOURNAL OF PUBLIC ECONOMICS"": ""2"", ""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""0"", ""RAND JOURNAL OF ECONOMICS"": ""7"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""11"", ""years_post_phd"": ""3""}","{""AMERICAN ECONOMIC REVIEW"": ""7"", ""INTERNATIONAL ECONOMIC REVIEW"": ""3"", ""JOURNAL OF LABOR ECONOMICS"": ""3"", ""JOURNAL OF PUBLIC ECONOMICS"": ""2"", ""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""1"", ""RAND JOURNAL OF ECONOMICS"": ""3"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""6"", ""years_post_phd"": ""4""}","{""AMERICAN ECONOMIC REVIEW"": ""3"", ""INTERNATIONAL ECONOMIC REVIEW"": ""2"", ""JOURNAL OF LABOR ECONOMICS"": ""1"", ""JOURNAL OF PUBLIC ECONOMICS"": ""1"", ""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""0"", ""RAND JOURNAL OF ECONOMICS"": ""4"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""6"", ""years_post_phd"": """"}"
Vanderbilt/full/cv-25-07.docx,JOURNAL OF ECONOMIC THEORY; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF ECONOMIC THEORY"": ""8"", ""promotion_year"": ""1981"", ""years_post_phd"": """"}","{""JOURNAL OF ECONOMIC THEORY"": ""11"", ""promotion_year"": ""1981"", ""years_post_phd"": """"}","{""JOURNAL OF ECONOMIC THEORY"": ""10"", ""promotion_year"": ""1981"", ""years_post_phd"": ""5""}","{""JOURNAL OF ECONOMIC THEORY"": ""8"", ""promotion_year"": ""1987"", ""years_post_phd"": """"}","{""JOURNAL OF ECONOMIC THEORY"": ""9"", ""promotion_year"": ""1981"", ""years_post_phd"": """"}"
Vanderbilt/full/cv.docx,JOURNAL OF ECONOMETRICS; promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF ECONOMETRICS"": ""18"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""JOURNAL OF ECONOMETRICS"": ""17"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""JOURNAL OF ECONOMETRICS"": ""16"", ""promotion_university"": ""North Carolina State University"", ""promotion_year"": ""2003"", ""years_post_phd"": ""5""}","{""JOURNAL OF ECONOMETRICS"": ""12"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""JOURNAL OF ECONOMETRICS"": ""24"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}"
